,timestamp,equipment_id,component_type,location,event_type
0,2020-07-25 23-18-33,EQ_2,Composant_5,Montparnasse,Failure
1,2020-03-26 11-51-57,EQ_1,Composant_3,Montparnasse,Warning
2,2020-04-08 02-04-19,EQ_2,Composant_3,Saint-Lazare,Maintenance
3,2020-07-28 03-40-31,EQ_1,Composant_2,Montparnasse,Warning
4,2020-03-30 15-42-58,EQ_4,Composant_1,Montparnasse,Maintenance
5,2020-02-09 23-59-41,EQ_5,Composant_4,Montparnasse,Maintenance
6,2020-12-25 21-21-40,EQ_4,Composant_3,Saint-Lazare,Warning
7,2020-01-16 03-40-02,EQ_2,Composant_3,Montparnasse,Maintenance
8,2020-01-04 15-20-00,EQ_3,Composant_1,Montparnasse,Maintenance
9,2020-11-03 08-03-32,EQ_5,Composant_3,Montparnasse,Maintenance
10,2020-12-19 16-07-00,EQ_3,Composant_5,Gare de Lyon,Warning
11,2020-01-10 05-20-18,EQ_5,Composant_3,Gare de Lyon,Failure
12,2020-03-21 22-18-06,EQ_2,Composant_2,Montparnasse,Warning
13,2020-05-10 19-15-21,EQ_5,Composant_4,Gare de Lyon,Warning
14,2020-07-01 11-04-28,EQ_3,Composant_2,Saint-Lazare,Failure
15,2020-06-22 07-16-49,EQ_2,Composant_2,Opéra,Failure
16,2020-04-27 07-07-09,EQ_4,Composant_2,Montparnasse,Failure
17,2020-03-05 18-51-32,EQ_2,Composant_1,Opéra,Warning
18,2020-09-08 14-21-27,EQ_2,Composant_2,Saint-Lazare,Failure
19,2020-05-27 07-51-00,EQ_5,Composant_4,Opéra,Failure
20,2020-06-22 00-25-54,EQ_2,Composant_5,Opéra,Maintenance
21,2020-09-05 22-17-14,EQ_3,Composant_3,Saint-Lazare,Warning
22,2020-01-22 22-24-27,EQ_3,Composant_2,Montparnasse,Failure
23,2020-02-02 04-32-20,EQ_5,Composant_3,Montparnasse,Maintenance
24,2020-10-03 10-27-33,EQ_4,Composant_2,Montparnasse,Warning
25,2020-05-12 12-17-07,EQ_1,Composant_4,Montparnasse,Warning
26,2020-07-15 23-41-42,EQ_5,Composant_2,Opéra,Warning
27,2020-11-01 21-29-44,EQ_2,Composant_5,Gare de Lyon,Maintenance
28,2020-07-18 08-09-51,EQ_1,Composant_3,Gare de Lyon,Failure
29,2020-06-27 02-15-44,EQ_5,Composant_3,Saint-Lazare,Maintenance
30,2020-11-25 03-20-35,EQ_5,Composant_5,Opéra,Maintenance
31,2020-01-10 04-45-33,EQ_2,Composant_1,Opéra,Maintenance
32,2020-05-26 06-38-53,EQ_1,Composant_4,Montparnasse,Warning
33,2020-11-16 11-21-03,EQ_1,Composant_5,Opéra,Failure
34,2020-12-24 00-28-27,EQ_5,Composant_2,Montparnasse,Maintenance
35,2020-10-02 12-52-27,EQ_2,Composant_3,Gare de Lyon,Maintenance
36,2020-06-13 17-03-18,EQ_5,Composant_3,Opéra,Warning
37,2020-02-25 11-40-10,EQ_4,Composant_5,Opéra,Maintenance
38,2020-04-03 09-48-07,EQ_4,Composant_3,Opéra,Warning
39,2020-01-20 20-20-54,EQ_3,Composant_5,Saint-Lazare,Warning
40,2020-01-07 20-10-32,EQ_5,Composant_2,Opéra,Warning
41,2020-12-14 06-55-06,EQ_1,Composant_3,Gare de Lyon,Maintenance
42,2020-09-18 03-54-08,EQ_4,Composant_3,Saint-Lazare,Warning
43,2020-12-05 06-26-35,EQ_5,Composant_3,Opéra,Failure
44,2020-06-30 23-31-27,EQ_2,Composant_4,Montparnasse,Maintenance
45,2020-08-03 08-50-41,EQ_3,Composant_3,Montparnasse,Warning
46,2020-03-09 12-38-40,EQ_2,Composant_4,Montparnasse,Failure
47,2020-03-09 08-16-07,EQ_4,Composant_2,Opéra,Failure
48,2020-09-08 19-41-29,EQ_5,Composant_4,Montparnasse,Warning
49,2020-10-20 23-09-37,EQ_1,Composant_3,Opéra,Failure
50,2020-04-08 06-15-12,EQ_3,Composant_4,Opéra,Warning
51,2020-08-30 02-29-27,EQ_1,Composant_1,Saint-Lazare,Failure
52,2020-09-20 05-24-20,EQ_4,Composant_2,Opéra,Maintenance
53,2020-10-21 10-04-09,EQ_5,Composant_2,Opéra,Warning
54,2020-12-18 07-56-00,EQ_5,Composant_5,Gare de Lyon,Maintenance
55,2020-02-28 01-12-29,EQ_3,Composant_4,Opéra,Failure
